File, time(ns)1, time(ns)2, time(ns)3, time(ns)4, time(ns)5, time(ns)6, time(ns)7, time(ns)8, time(ns)9, time(ns)10
graph15-9.txt, 28172, 28212, 27892, 28072, 27921, 36677, 27200, 53118, 39513, 23363, 
graph15-5.txt, 25406, 23834, 23333, 30427, 48099, 189090, 53469, 77173, 52006, 36327, 
graph15-3.txt, 21941, 111596, 22070, 32841, 21971, 20929, 27721, 20939, 109001, 22251, 
graph15-1.txt, 22101, 21880, 23062, 26138, 123218, 22341, 35145, 22862, 22652, 23743, 
graph15-7.txt, 120352, 25246, 36037, 23103, 31468, 5531, 4348, 3586, 3466, 3316, 
graph15-2.txt, 3546, 3216, 3517, 3296, 3367, 3276, 3306, 3296, 3236, 3356, 
graph15-10.txt, 4468, 3907, 4098, 3857, 4208, 3837, 3847, 3887, 3897, 3897, 
graph15-8.txt, 4839, 4227, 4038, 7804, 4859, 7574, 4068, 3817, 7694, 7233, 
graph15-4.txt, 8084, 7994, 9538, 8706, 8045, 8165, 7885, 8165, 8095, 8185, 
graph15-6.txt, 7093, 6812, 7074, 6522, 6913, 6632, 7283, 4228, 3967, 3627, 
