File, time(ns)1, time(ns)2, time(ns)3, time(ns)4, time(ns)5, time(ns)6, time(ns)7, time(ns)8, time(ns)9, time(ns)10
graph10-4.txt, 128225, 93028, 86405, 84672, 84601, 84661, 93890, 85243, 82668, 82538, 
graph10-7.txt, 83089, 82748, 82588, 88089, 83860, 83499, 89330, 82858, 82728, 83159, 
graph10-9.txt, 82788, 82618, 111243, 126943, 105682, 103358, 103027, 102596, 103467, 103969, 
graph10-6.txt, 81345, 87127, 92016, 80073, 79823, 79943, 79802, 79912, 89732, 79692, 
graph10-10.txt, 87948, 82438, 82127, 82047, 90954, 82327, 99891, 82558, 90072, 100502, 
graph10-2.txt, 83449, 82348, 30308, 73841, 68851, 78070, 72388, 14027, 11171, 10810, 
graph10-8.txt, 6823, 5811, 7454, 6041, 5721, 5661, 5631, 5671, 5882, 6834, 
graph10-5.txt, 6673, 6112, 5791, 5931, 5741, 7434, 6793, 6162, 5801, 5791, 
graph10-3.txt, 6572, 20018, 11211, 9939, 11772, 13937, 14598, 13355, 12934, 16301, 
graph10-1.txt, 14458, 14768, 15259, 14999, 14908, 16321, 15169, 14828, 15360, 14708, 
