File, time(ns)1, time(ns)2, time(ns)3, time(ns)4, time(ns)5, time(ns)6, time(ns)7, time(ns)8, time(ns)9, time(ns)10
graph10-4.txt, 294941, 263892, 154284, 157529, 182176, 201623, 210481, 203236, 191414, 133063, 
graph10-7.txt, 200311, 161707, 108646, 138163, 107875, 110190, 122463, 117103, 114718, 132061, 
graph10-9.txt, 107885, 109909, 111952, 124606, 132782, 140547, 132221, 130448, 133995, 109849, 
graph10-6.txt, 130228, 98827, 78038, 75333, 75654, 95582, 108166, 118194, 80653, 98167, 
graph10-10.txt, 77176, 77868, 77608, 80694, 86595, 88308, 83278, 82747, 82216, 90702, 
graph10-2.txt, 96553, 99820, 100461, 115740, 99198, 114648, 94480, 104699, 89991, 79631, 
graph10-8.txt, 91304, 79101, 97024, 82787, 77037, 76295, 77107, 118575, 102445, 81425, 
graph10-5.txt, 181686, 170825, 202796, 114998, 109077, 108647, 165815, 100120, 96303, 131169, 
graph10-3.txt, 44595, 39185, 47410, 44104, 37492, 34295, 33995, 35828, 40316, 38624, 
graph10-1.txt, 40878, 50746, 58932, 42611, 41860, 45626, 41929, 56537, 31720, 25048, 
