File, time(ns)1, time(ns)2, time(ns)3, time(ns)4, time(ns)5, time(ns)6, time(ns)7, time(ns)8, time(ns)9, time(ns)10
graph50-5.txt, 1397203, 1364192, 1378669, 1366285, 1366927, 1356056, 1341669, 1375242, 1352329, 1357438, 
graph50-9.txt, 1350014, 1344754, 1344054, 1327843, 1323906, 1335197, 1363971, 1317944, 1332833, 1339595, 
graph50-7.txt, 1376334, 1393126, 1366145, 1369010, 1370062, 1382956, 1359683, 1374220, 1350996, 1361817, 
graph50-6.txt, 1257810, 1228866, 1194812, 1249946, 1244044, 1262950, 1276716, 1262599, 1255777, 1218467, 
graph50-2.txt, 1227303, 1138116, 1165677, 1204780, 1195954, 1200041, 1213788, 1202376, 1196886, 1203679, 
graph50-8.txt, 1310741, 1223766, 1191486, 1222244, 1227974, 1212054, 1234166, 2962263, 1204240, 1217515, 
graph50-3.txt, 1315610, 1337481, 1331750, 1341749, 1355795, 1343312, 1327492, 1347119, 1366866, 1368409, 
graph50-1.txt, 1356316, 1315138, 1299780, 1329586, 1355725, 1341549, 1397574, 1350045, 1352078, 1357809, 
graph50-10.txt, 1321471, 1249856, 1240839, 1253202, 1238584, 1182439, 1229938, 1240007, 1251389, 1258031, 
graph50-4.txt, 1247932, 1207927, 1144467, 1189281, 1198408, 1132695, 1137113, 1201304, 1209379, 1203569, 
