File, time(ns)1, time(ns)2, time(ns)3, time(ns)4, time(ns)5, time(ns)6, time(ns)7, time(ns)8, time(ns)9, time(ns)10
graph100-7.txt, 27075267, 27040352, 27067542, 27849505, 27155094, 27000088, 27057604, 26982356, 27038950, 27033049, 
graph100-8.txt, 28865812, 27180641, 26941319, 27038969, 27007411, 26971594, 26995319, 26954924, 27083972, 26949053, 
graph100-3.txt, 27423779, 27349772, 27365892, 27278070, 27363297, 27426885, 27560532, 27276738, 31966274, 33741551, 
graph100-2.txt, 27712242, 27745253, 27973013, 27729013, 27828015, 27900099, 28063090, 27786730, 27958326, 27754099, 
graph100-6.txt, 27114068, 27393764, 27200287, 27101935, 27313505, 27082498, 27082328, 29369390, 26989067, 27079854, 
graph100-9.txt, 27472258, 27253264, 27294991, 27381440, 27275475, 27356936, 27313986, 27372524, 27384716, 27368737, 
graph100-1.txt, 27264574, 27335626, 27282227, 27260758, 27330817, 27235491, 27262441, 27719144, 27286856, 27235792, 
graph100-10.txt, 27170121, 27275926, 27488929, 27273020, 27141377, 27215904, 27269414, 27207678, 27288799, 27209863, 
graph100-5.txt, 27205355, 27182994, 27309648, 27280874, 27345954, 27301583, 27395055, 27277298, 27343450, 27269433, 
graph100-4.txt, 27604742, 28364444, 31087010, 27855485, 27332680, 27205896, 27150393, 27257060, 27309818, 27227255, 
